Episode,AvgReward
0,129.005
200,110.83
400,124.7
600,145.165
800,138.02
1000,136.97
1200,158.005
1400,135.25
1600,144.765
1800,152.825
2000,157.665
2200,164.09
2400,168.045
2600,178.085
2800,139.65
3000,170.925
3200,176.09
3400,187.86
3600,167.04
3800,191.405
4000,159.16
4200,162.505
4400,173.555
4600,194.39
4800,157.73
5000,171.38
5200,192.41
5400,162.625
5600,181.2
5800,178.57
6000,179.34
6200,175.555
6400,168.74
6600,173.825
6800,181.45
7000,177.495
7200,180.565
7400,173.97
7600,176.275
7800,167.89
8000,168.0
8200,161.635
8400,176.155
8600,180.43
8800,181.97
9000,182.55
9200,168.095
9400,171.36
9600,186.79
9800,179.24
10000,89.48
10200,94.42
10400,102.61
10600,96.525
10800,102.995
11000,99.965
11200,112.625
11400,99.84
11600,101.66
11800,108.75
12000,105.615
12200,106.945
12400,114.375
12600,115.06
12800,122.745
13000,115.09
13200,113.035
13400,118.7
13600,116.36
13800,120.195
14000,110.74
14200,114.64
14400,119.66
14600,110.75
14800,125.275
15000,136.62
15200,133.585
15400,122.025
15600,130.265
15800,138.855
16000,136.93
16200,129.385
16400,115.16
16600,127.425
16800,124.235
17000,132.175
17200,133.88
17400,133.595
17600,120.39
17800,128.365
18000,130.055
18200,139.91
18400,139.905
18600,132.31
18800,135.66
19000,129.975
19200,132.7
19400,124.685
19600,130.405
19800,126.495
20000,66.58
20200,65.05
20400,66.85
20600,68.435
20800,71.92
21000,79.385
21200,69.78
21400,78.59
21600,82.85
21800,80.9
22000,76.895
22200,78.505
22400,74.705
22600,81.54
22800,83.535
23000,83.785
23200,79.895
23400,93.18
23600,79.585
23800,88.92
24000,83.985
24200,79.73
24400,91.04
24600,87.165
24800,86.27
25000,77.69
25200,88.96
25400,94.76
25600,89.605
25800,85.875
26000,87.565
26200,92.77
26400,91.345
26600,90.195
26800,89.86
27000,89.485
27200,89.305
27400,95.4
27600,95.505
27800,89.04
28000,94.65
28200,87.98
28400,105.445
28600,92.725
28800,92.66
29000,99.18
29200,86.52
29400,97.105
29600,94.665
29800,93.695
