Step,Action,Reward,RevealedBoard
1,"(5, 5)",52,"[[False, False, False, True, True, True], [False, False, False, True, True, True], [False, False, False, True, True, True], [False, False, False, True, True, True], [False, False, False, False, True, True], [False, False, False, False, True, True]]"
2,"(4, 2)",1,"[[False, False, False, True, True, True], [False, False, False, True, True, True], [False, False, False, True, True, True], [False, False, False, True, True, True], [False, False, True, False, True, True], [False, False, False, False, True, True]]"
3,"(2, 2)",1,"[[False, False, False, True, True, True], [False, False, False, True, True, True], [False, False, True, True, True, True], [False, False, False, True, True, True], [False, False, True, False, True, True], [False, False, False, False, True, True]]"
4,"(3, 2)",1,"[[False, False, False, True, True, True], [False, False, False, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, False, True, True], [False, False, False, False, True, True]]"
5,"(1, 1)",1,"[[False, False, False, True, True, True], [False, True, False, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, False, True, True], [False, False, False, False, True, True]]"
6,"(4, 0)",1,"[[False, False, False, True, True, True], [False, True, False, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [True, False, True, False, True, True], [False, False, False, False, True, True]]"
7,"(5, 2)",1,"[[False, False, False, True, True, True], [False, True, False, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [True, False, True, False, True, True], [False, False, True, False, True, True]]"
8,"(5, 3)",1,"[[False, False, False, True, True, True], [False, True, False, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [True, False, True, False, True, True], [False, False, True, True, True, True]]"
9,"(3, 0)",1,"[[False, False, False, True, True, True], [False, True, False, True, True, True], [False, False, True, True, True, True], [True, False, True, True, True, True], [True, False, True, False, True, True], [False, False, True, True, True, True]]"
10,"(2, 0)",1,"[[False, False, False, True, True, True], [False, True, False, True, True, True], [True, False, True, True, True, True], [True, False, True, True, True, True], [True, False, True, False, True, True], [False, False, True, True, True, True]]"
11,"(1, 0)",1,"[[False, False, False, True, True, True], [True, True, False, True, True, True], [True, False, True, True, True, True], [True, False, True, True, True, True], [True, False, True, False, True, True], [False, False, True, True, True, True]]"
12,"(0, 2)",1,"[[False, False, True, True, True, True], [True, True, False, True, True, True], [True, False, True, True, True, True], [True, False, True, True, True, True], [True, False, True, False, True, True], [False, False, True, True, True, True]]"
13,"(3, 1)",1,"[[False, False, True, True, True, True], [True, True, False, True, True, True], [True, False, True, True, True, True], [True, True, True, True, True, True], [True, False, True, False, True, True], [False, False, True, True, True, True]]"
14,"(0, 1)",1,"[[False, True, True, True, True, True], [True, True, False, True, True, True], [True, False, True, True, True, True], [True, True, True, True, True, True], [True, False, True, False, True, True], [False, False, True, True, True, True]]"
15,"(5, 1)",1,"[[False, True, True, True, True, True], [True, True, False, True, True, True], [True, False, True, True, True, True], [True, True, True, True, True, True], [True, False, True, False, True, True], [False, True, True, True, True, True]]"
16,"(5, 0)",-10,"[[False, True, True, True, True, True], [True, True, False, True, True, True], [True, False, True, True, True, True], [True, True, True, True, True, True], [True, False, True, False, True, True], [True, True, True, True, True, True]]"

Board
0,1,1,1,0,0
1,2,-1,1,0,0
1,-1,2,1,0,0
2,2,3,1,1,0
2,-1,2,-1,1,0
-1,2,2,1,1,0
