Episode,AvgReward
0,125.175
200,143.26
400,139.895
600,161.35
800,146.675
1000,172.295
1200,129.85
1400,178.35
1600,145.465
1800,152.675
2000,147.28
2200,165.785
2400,163.095
2600,146.96
2800,176.455
3000,171.98
3200,168.175
3400,166.075
3600,186.9
3800,160.0
4000,167.16
4200,165.335
4400,158.99
4600,157.13
4800,172.56
5000,178.485
5200,168.935
5400,187.48
5600,166.56
5800,198.27
6000,173.815
6200,186.36
6400,178.585
6600,180.53
6800,172.425
7000,171.325
7200,163.325
7400,172.78
7600,171.22
7800,175.325
8000,182.275
8200,162.53
8400,166.975
8600,155.6
8800,170.54
9000,184.545
9200,177.935
9400,158.125
9600,202.94
9800,175.985
10000,98.445
10200,91.235
10400,97.675
10600,104.135
10800,100.03
11000,95.395
11200,103.625
11400,111.495
11600,104.625
11800,106.74
12000,102.83
12200,98.605
12400,111.94
12600,106.505
12800,111.045
13000,111.2
13200,112.79
13400,109.88
13600,105.53
13800,114.46
14000,117.3
14200,118.5
14400,118.24
14600,112.6
14800,130.795
15000,125.115
15200,121.39
15400,122.195
15600,130.235
15800,125.14
16000,132.46
16200,129.795
16400,129.4
16600,140.96
16800,126.965
17000,143.95
17200,121.05
17400,127.045
17600,141.6
17800,136.025
18000,126.02
18200,135.63
18400,137.97
18600,130.575
18800,127.73
19000,129.295
19200,125.89
19400,124.625
19600,133.535
19800,136.18
20000,69.995
20200,66.7
20400,68.725
20600,69.595
20800,69.27
21000,78.8
21200,76.52
21400,70.6
21600,80.02
21800,81.53
22000,78.15
22200,76.205
22400,78.515
22600,81.915
22800,73.99
23000,90.2
23200,87.125
23400,80.78
23600,94.1
23800,86.125
24000,84.87
24200,83.59
24400,83.625
24600,85.66
24800,89.8
25000,86.995
25200,85.835
25400,91.945
25600,90.705
25800,91.34
26000,87.22
26200,87.21
26400,93.68
26600,96.52
26800,92.135
27000,93.96
27200,88.55
27400,103.425
27600,91.655
27800,99.075
28000,103.775
28200,98.24
28400,92.74
28600,98.115
28800,90.74
29000,93.665
29200,93.595
29400,93.075
29600,101.25
29800,90.445
