Episode,AvgReward
0,131.01
200,123.875
400,137.45
600,144.02
800,156.43
1000,155.91
1200,137.975
1400,158.75
1600,153.3
1800,155.395
2000,135.875
2200,147.105
2400,147.55
2600,139.415
2800,159.78
3000,170.285
3200,154.73
3400,181.43
3600,189.55
3800,160.555
4000,175.965
4200,182.56
4400,168.33
4600,153.985
4800,184.16
5000,157.95
5200,178.505
5400,177.36
5600,168.17
5800,190.34
6000,160.73
6200,173.125
6400,168.34
6600,194.31
6800,156.035
7000,186.12
7200,182.435
7400,180.95
7600,180.35
7800,196.58
8000,183.16
8200,184.805
8400,174.355
8600,193.87
8800,185.44
9000,176.315
9200,168.165
9400,197.665
9600,181.435
9800,190.715
10000,102.52
10200,100.43
10400,88.12
10600,98.99
10800,119.135
11000,106.635
11200,100.44
11400,104.245
11600,101.385
11800,110.605
12000,115.72
12200,109.685
12400,102.07
12600,106.895
12800,111.695
13000,110.075
13200,121.765
13400,117.66
13600,125.26
13800,125.015
14000,115.15
14200,128.11
14400,120.59
14600,117.54
14800,113.535
15000,128.28
15200,113.665
15400,130.425
15600,121.99
15800,114.82
16000,122.715
16200,120.39
16400,132.905
16600,135.505
16800,136.29
17000,152.43
17200,135.445
17400,127.3
17600,126.205
17800,135.72
18000,132.54
18200,130.725
18400,130.235
18600,132.43
18800,138.59
19000,136.305
19200,134.84
19400,125.96
19600,144.45
19800,130.15
20000,80.115
20200,68.35
20400,68.755
20600,72.78
20800,71.34
21000,73.785
21200,73.73
21400,70.365
21600,77.25
21800,84.165
22000,76.115
22200,80.02
22400,84.37
22600,79.26
22800,83.37
23000,89.08
23200,85.885
23400,79.725
23600,84.04
23800,89.555
24000,80.67
24200,82.765
24400,97.365
24600,82.885
24800,86.745
25000,89.82
25200,92.98
25400,89.98
25600,90.6
25800,91.585
26000,92.005
26200,94.405
26400,101.745
26600,98.615
26800,92.17
27000,94.725
27200,94.765
27400,98.05
27600,90.985
27800,95.645
28000,96.085
28200,93.805
28400,101.845
28600,94.005
28800,96.96
29000,97.71
29200,94.105
29400,106.205
29600,96.27
29800,96.16
