Episode,AvgReward
0,111.955
200,158.665
400,134.735
600,124.08
800,135.395
1000,141.865
1200,123.035
1400,156.925
1600,133.07
1800,144.275
2000,154.495
2200,143.96
2400,177.94
2600,168.875
2800,153.68
3000,150.985
3200,143.355
3400,172.58
3600,152.81
3800,165.365
4000,151.705
4200,172.79
4400,180.085
4600,173.575
4800,153.13
5000,183.23
5200,171.495
5400,163.64
5600,180.965
5800,179.8
6000,190.85
6200,189.285
6400,191.89
6600,179.48
6800,193.55
7000,186.49
7200,166.825
7400,175.42
7600,192.525
7800,171.42
8000,174.41
8200,180.285
8400,186.385
8600,193.37
8800,168.25
9000,182.415
9200,186.775
9400,186.14
9600,178.935
9800,179.495
10000,99.74
10200,85.685
10400,94.575
10600,97.945
10800,90.645
11000,106.54
11200,101.285
11400,94.175
11600,112.005
11800,105.725
12000,115.67
12200,103.56
12400,108.22
12600,119.415
12800,111.66
13000,116.795
13200,127.675
13400,113.505
13600,113.865
13800,111.675
14000,120.075
14200,127.845
14400,122.995
14600,122.015
14800,123.77
15000,121.985
15200,116.925
15400,138.12
15600,123.14
15800,127.52
16000,130.34
16200,131.43
16400,120.155
16600,141.69
16800,133.785
17000,131.0
17200,136.59
17400,129.73
17600,124.765
17800,131.88
18000,133.19
18200,132.055
18400,126.035
18600,145.425
18800,131.35
19000,152.11
19200,134.35
19400,128.8
19600,140.115
19800,128.62
20000,65.77
20200,69.375
20400,71.985
20600,70.75
20800,74.03
21000,73.65
21200,74.605
21400,74.145
21600,78.16
21800,80.18
22000,82.76
22200,88.075
22400,90.585
22600,83.185
22800,77.89
23000,86.475
23200,77.8
23400,93.8
23600,90.835
23800,88.44
24000,89.96
24200,96.085
24400,87.42
24600,86.775
24800,91.57
25000,99.985
25200,86.575
25400,103.05
25600,98.35
25800,100.305
26000,92.82
26200,94.345
26400,100.0
26600,86.04
26800,92.08
27000,94.045
27200,98.075
27400,92.45
27600,101.015
27800,92.83
28000,98.595
28200,104.66
28400,98.23
28600,97.925
28800,103.535
29000,106.605
29200,97.4
29400,94.89
29600,94.61
29800,105.4
