Episode,AvgReward
0,130.88
200,137.545
400,135.62
600,130.73
800,144.925
1000,139.665
1200,147.045
1400,143.51
1600,176.4
1800,138.985
2000,145.095
2200,153.09
2400,136.265
2600,149.875
2800,169.94
3000,174.28
3200,156.04
3400,191.185
3600,164.595
3800,168.87
4000,160.035
4200,155.725
4400,185.365
4600,162.575
4800,180.71
5000,182.655
5200,169.34
5400,174.69
5600,167.84
5800,175.17
6000,174.505
6200,182.95
6400,177.47
6600,173.89
6800,185.005
7000,169.86
7200,162.035
7400,173.575
7600,178.155
7800,169.55
8000,179.48
8200,160.445
8400,200.5
8600,188.4
8800,197.385
9000,206.455
9200,174.97
9400,164.285
9600,174.32
9800,167.305
10000,91.495
10200,90.73
10400,94.47
10600,103.76
10800,98.355
11000,94.365
11200,100.95
11400,101.595
11600,108.27
11800,115.7
12000,114.54
12200,103.1
12400,109.665
12600,114.715
12800,115.305
13000,106.94
13200,120.325
13400,136.385
13600,114.695
13800,121.725
14000,115.605
14200,119.05
14400,141.0
14600,121.22
14800,117.195
15000,128.855
15200,123.965
15400,117.845
15600,125.405
15800,134.755
16000,126.575
16200,132.65
16400,128.335
16600,130.545
16800,133.935
17000,135.86
17200,128.125
17400,133.195
17600,124.435
17800,128.73
18000,130.8
18200,128.455
18400,132.045
18600,137.445
18800,131.285
19000,145.8
19200,125.085
19400,132.82
19600,138.825
19800,138.205
20000,70.86
20200,70.645
20400,72.015
20600,69.785
20800,73.605
21000,70.14
21200,75.2
21400,81.61
21600,84.05
21800,79.68
22000,77.29
22200,80.815
22400,80.6
22600,80.365
22800,83.045
23000,82.185
23200,82.695
23400,88.485
23600,85.01
23800,89.5
24000,88.84
24200,92.7
24400,89.325
24600,86.91
24800,98.035
25000,95.46
25200,98.885
25400,94.485
25600,92.07
25800,97.515
26000,97.68
26200,95.98
26400,93.645
26600,99.075
26800,93.65
27000,101.725
27200,95.865
27400,105.08
27600,100.01
27800,94.085
28000,106.325
28200,97.0
28400,101.305
28600,94.325
28800,102.0
29000,100.725
29200,102.695
29400,102.165
29600,97.195
29800,96.56
