Episode,AvgReward
0,136.42
200,113.665
400,126.005
600,143.365
800,139.635
1000,143.025
1200,155.435
1400,152.77
1600,151.625
1800,143.305
2000,188.425
2200,149.87
2400,149.465
2600,140.785
2800,151.0
3000,154.96
3200,167.69
3400,169.465
3600,171.82
3800,195.575
4000,164.97
4200,165.48
4400,159.475
4600,178.405
4800,154.105
5000,167.57
5200,165.675
5400,196.78
5600,159.74
5800,176.49
6000,149.625
6200,150.12
6400,176.765
6600,169.365
6800,184.59
7000,175.565
7200,169.39
7400,178.57
7600,180.97
7800,168.74
8000,161.32
8200,159.12
8400,175.51
8600,184.755
8800,176.115
9000,170.45
9200,192.77
9400,176.705
9600,174.98
9800,181.845
10000,96.375
10200,96.485
10400,93.845
10600,99.06
10800,107.015
11000,97.74
11200,102.185
11400,118.56
11600,103.055
11800,114.725
12000,106.905
12200,115.555
12400,112.96
12600,114.34
12800,118.355
13000,113.88
13200,116.88
13400,110.555
13600,115.235
13800,114.82
14000,121.93
14200,116.63
14400,121.145
14600,124.725
14800,111.285
15000,121.72
15200,121.715
15400,124.57
15600,143.26
15800,149.38
16000,121.68
16200,126.855
16400,120.0
16600,131.645
16800,132.095
17000,126.405
17200,126.84
17400,126.615
17600,130.545
17800,129.33
18000,131.81
18200,123.985
18400,142.975
18600,137.695
18800,129.325
19000,129.025
19200,131.62
19400,128.385
19600,136.495
19800,139.2
20000,69.14
20200,73.625
20400,78.71
20600,70.95
20800,75.67
21000,79.73
21200,72.69
21400,72.345
21600,77.39
21800,86.395
22000,85.405
22200,79.91
22400,85.63
22600,78.565
22800,88.255
23000,87.715
23200,87.38
23400,89.885
23600,86.11
23800,86.64
24000,94.125
24200,93.71
24400,88.35
24600,95.775
24800,89.12
25000,86.465
25200,95.72
25400,93.2
25600,98.01
25800,96.32
26000,88.53
26200,89.575
26400,97.445
26600,95.7
26800,97.71
27000,92.165
27200,100.345
27400,91.44
27600,92.98
27800,100.535
28000,101.445
28200,91.875
28400,95.0
28600,95.85
28800,97.665
29000,99.3
29200,103.665
29400,107.18
29600,100.265
29800,99.215
