Episode,AvgReward
0,157.685
200,130.21
400,129.92
600,140.975
800,139.51
1000,123.325
1200,148.74
1400,144.41
1600,150.265
1800,174.58
2000,161.76
2200,152.965
2400,161.9
2600,153.245
2800,167.805
3000,157.425
3200,170.845
3400,175.265
3600,167.745
3800,144.695
4000,181.73
4200,161.985
4400,172.26
4600,170.965
4800,188.145
5000,156.36
5200,174.53
5400,190.885
5600,177.09
5800,169.055
6000,172.485
6200,174.385
6400,164.21
6600,184.43
6800,173.715
7000,192.86
7200,188.64
7400,158.04
7600,175.87
7800,161.035
8000,191.165
8200,171.805
8400,178.57
8600,191.7
8800,190.72
9000,178.0
9200,179.255
9400,182.555
9600,183.13
9800,181.89
10000,91.43
10200,88.155
10400,99.795
10600,101.375
10800,99.525
11000,107.57
11200,109.895
11400,106.06
11600,105.32
11800,102.63
12000,106.115
12200,107.505
12400,112.64
12600,118.55
12800,111.755
13000,106.975
13200,114.62
13400,133.755
13600,127.02
13800,119.1
14000,120.865
14200,124.21
14400,123.52
14600,122.365
14800,127.375
15000,126.24
15200,115.89
15400,125.07
15600,132.305
15800,139.235
16000,131.22
16200,124.47
16400,130.19
16600,135.92
16800,133.995
17000,130.755
17200,124.585
17400,130.77
17600,129.665
17800,123.035
18000,122.88
18200,136.655
18400,129.135
18600,128.29
18800,128.055
19000,127.85
19200,132.57
19400,133.095
19600,125.825
19800,132.655
20000,66.04
20200,74.275
20400,70.515
20600,74.255
20800,74.555
21000,81.025
21200,82.155
21400,81.79
21600,79.965
21800,77.53
22000,80.8
22200,90.205
22400,90.755
22600,78.785
22800,92.835
23000,81.63
23200,86.495
23400,84.795
23600,85.88
23800,88.205
24000,91.07
24200,91.74
24400,89.73
24600,91.305
24800,96.025
25000,86.46
25200,94.895
25400,101.58
25600,109.83
25800,92.005
26000,95.84
26200,93.17
26400,93.835
26600,107.89
26800,99.99
27000,97.46
27200,104.1
27400,103.045
27600,103.2
27800,106.03
28000,96.23
28200,105.09
28400,98.175
28600,103.475
28800,101.395
29000,102.58
29200,104.255
29400,104.59
29600,96.91
29800,98.38
