Episode,AvgReward
0,150.72
200,132.285
400,125.185
600,136.2
800,149.615
1000,143.02
1200,138.425
1400,137.75
1600,170.02
1800,159.64
2000,145.115
2200,141.68
2400,174.495
2600,145.48
2800,165.98
3000,169.085
3200,169.765
3400,159.885
3600,173.085
3800,168.93
4000,171.075
4200,170.21
4400,175.06
4600,167.06
4800,152.435
5000,166.705
5200,187.51
5400,165.435
5600,167.035
5800,165.72
6000,159.03
6200,175.03
6400,179.465
6600,174.63
6800,171.31
7000,191.81
7200,205.48
7400,186.335
7600,190.915
7800,168.2
8000,173.335
8200,169.205
8400,181.015
8600,173.155
8800,164.155
9000,196.0
9200,189.515
9400,185.25
9600,167.45
9800,196.78
10000,107.75
10200,95.435
10400,99.465
10600,100.155
10800,102.485
11000,98.805
11200,102.85
11400,125.11
11600,96.505
11800,114.36
12000,116.17
12200,107.825
12400,113.47
12600,118.3
12800,123.31
13000,107.755
13200,117.585
13400,116.795
13600,120.805
13800,129.06
14000,115.815
14200,131.28
14400,137.895
14600,115.28
14800,119.73
15000,128.99
15200,124.695
15400,126.485
15600,127.785
15800,126.485
16000,127.875
16200,143.075
16400,129.03
16600,126.15
16800,129.565
17000,122.99
17200,130.42
17400,132.315
17600,127.77
17800,129.4
18000,123.915
18200,132.515
18400,123.03
18600,137.01
18800,132.87
19000,128.365
19200,141.82
19400,142.56
19600,131.85
19800,140.64
20000,69.375
20200,68.28
20400,75.11
20600,66.985
20800,71.175
21000,73.06
21200,79.98
21400,76.65
21600,77.195
21800,77.945
22000,78.95
22200,80.24
22400,90.305
22600,82.995
22800,79.845
23000,81.175
23200,84.68
23400,85.81
23600,88.235
23800,81.06
24000,83.32
24200,95.595
24400,88.955
24600,85.86
24800,96.16
25000,88.355
25200,101.76
25400,86.005
25600,102.325
25800,91.335
26000,97.435
26200,85.94
26400,96.085
26600,97.975
26800,94.915
27000,89.025
27200,96.28
27400,97.155
27600,95.955
27800,90.03
28000,95.825
28200,93.06
28400,94.915
28600,106.015
28800,94.625
29000,97.83
29200,104.84
29400,109.525
29600,101.195
29800,97.605
