Episode,AvgReward
0,134.8
200,126.075
400,126.055
600,134.2
800,146.255
1000,136.53
1200,139.05
1400,161.46
1600,148.445
1800,150.195
2000,170.975
2200,153.275
2400,155.35
2600,161.325
2800,145.145
3000,162.62
3200,164.66
3400,176.77
3600,161.18
3800,165.87
4000,167.465
4200,175.225
4400,162.875
4600,164.39
4800,177.875
5000,168.415
5200,189.985
5400,183.185
5600,166.56
5800,168.98
6000,177.54
6200,172.38
6400,175.44
6600,177.145
6800,172.63
7000,197.03
7200,175.475
7400,168.51
7600,197.48
7800,199.115
8000,167.755
8200,166.76
8400,202.225
8600,188.97
8800,181.69
9000,170.855
9200,190.43
9400,171.765
9600,163.975
9800,168.33
10000,99.44
10200,94.06
10400,93.205
10600,100.175
10800,107.87
11000,106.005
11200,118.63
11400,114.71
11600,116.23
11800,106.39
12000,120.375
12200,121.545
12400,123.405
12600,115.65
12800,131.185
13000,118.415
13200,121.315
13400,123.775
13600,122.055
13800,118.34
14000,118.45
14200,114.77
14400,129.44
14600,125.295
14800,125.205
15000,118.36
15200,120.62
15400,118.95
15600,126.015
15800,130.44
16000,130.25
16200,128.715
16400,126.18
16600,125.755
16800,137.6
17000,129.035
17200,130.365
17400,130.285
17600,121.985
17800,128.25
18000,130.94
18200,131.125
18400,135.625
18600,132.95
18800,124.04
19000,125.225
19200,124.45
19400,130.985
19600,139.765
19800,136.24
20000,70.895
20200,66.06
20400,72.035
20600,74.66
20800,83.12
21000,77.145
21200,81.09
21400,79.92
21600,87.325
21800,81.72
22000,85.215
22200,81.83
22400,83.89
22600,93.85
22800,88.725
23000,86.56
23200,89.255
23400,89.35
23600,91.72
23800,95.24
24000,94.915
24200,93.48
24400,99.345
24600,89.13
24800,91.0
25000,91.285
25200,87.265
25400,90.425
25600,102.225
25800,96.105
26000,95.425
26200,93.885
26400,88.875
26600,92.645
26800,92.055
27000,92.43
27200,100.01
27400,94.065
27600,94.935
27800,95.115
28000,93.32
28200,90.885
28400,98.22
28600,105.17
28800,98.915
29000,95.18
29200,96.125
29400,100.945
29600,98.895
29800,103.57
