Episode,AvgReward
0,134.12
200,125.37
400,161.44
600,153.41
800,146.035
1000,138.72
1200,135.29
1400,140.75
1600,161.975
1800,161.2
2000,185.765
2200,156.885
2400,180.86
2600,153.08
2800,153.24
3000,159.395
3200,172.74
3400,151.275
3600,173.075
3800,179.71
4000,159.81
4200,174.175
4400,154.825
4600,176.005
4800,177.705
5000,167.415
5200,167.205
5400,169.175
5600,171.765
5800,187.885
6000,159.035
6200,167.295
6400,182.075
6600,179.95
6800,168.93
7000,188.075
7200,191.775
7400,178.88
7600,158.4
7800,200.95
8000,189.37
8200,181.58
8400,180.885
8600,178.695
8800,178.29
9000,193.64
9200,195.22
9400,171.09
9600,173.665
9800,177.315
10000,87.055
10200,98.24
10400,93.17
10600,105.555
10800,104.805
11000,98.755
11200,102.77
11400,101.315
11600,97.17
11800,103.945
12000,105.23
12200,109.78
12400,110.395
12600,112.115
12800,119.095
13000,107.495
13200,114.88
13400,117.46
13600,116.29
13800,125.49
14000,109.74
14200,117.075
14400,118.985
14600,127.0
14800,118.325
15000,126.5
15200,121.56
15400,117.78
15600,120.98
15800,117.735
16000,125.165
16200,115.72
16400,135.07
16600,124.13
16800,131.955
17000,146.475
17200,131.615
17400,135.12
17600,131.025
17800,132.515
18000,130.12
18200,126.385
18400,125.065
18600,130.43
18800,129.255
19000,128.765
19200,123.03
19400,137.675
19600,133.58
19800,131.67
20000,69.085
20200,79.11
20400,74.29
20600,78.1
20800,75.15
21000,71.775
21200,75.57
21400,73.73
21600,75.2
21800,76.99
22000,82.535
22200,80.395
22400,78.565
22600,79.22
22800,83.96
23000,80.005
23200,82.805
23400,85.82
23600,84.285
23800,84.99
24000,87.05
24200,87.17
24400,82.885
24600,84.425
24800,87.14
25000,81.5
25200,90.085
25400,93.12
25600,90.41
25800,90.2
26000,92.75
26200,99.485
26400,92.905
26600,96.74
26800,96.635
27000,95.495
27200,91.91
27400,98.545
27600,96.055
27800,101.595
28000,104.465
28200,95.135
28400,92.78
28600,94.685
28800,92.16
29000,97.855
29200,98.47
29400,97.065
29600,107.52
29800,96.28
