Episode,AvgReward
0,131.385
200,124.1
400,145.45
600,124.875
800,123.27
1000,125.31
1200,132.915
1400,151.835
1600,160.01
1800,147.675
2000,162.555
2200,141.77
2400,163.21
2600,146.135
2800,169.8
3000,164.98
3200,194.22
3400,158.85
3600,166.68
3800,166.46
4000,158.23
4200,153.92
4400,159.53
4600,149.75
4800,170.63
5000,157.695
5200,162.345
5400,173.225
5600,155.36
5800,169.4
6000,166.595
6200,149.975
6400,154.315
6600,153.91
6800,150.825
7000,149.76
7200,171.68
7400,155.63
7600,167.68
7800,159.585
8000,161.88
8200,150.63
8400,164.595
8600,157.035
8800,159.86
9000,156.575
9200,176.7
9400,166.305
9600,162.675
9800,155.91
10000,90.795
10200,91.695
10400,90.05
10600,96.69
10800,96.84
11000,87.415
11200,96.34
11400,107.275
11600,98.815
11800,102.065
12000,104.02
12200,96.43
12400,91.525
12600,85.5
12800,100.58
13000,93.615
13200,82.165
13400,86.155
13600,87.12
13800,91.265
14000,92.36
14200,88.38
14400,102.835
14600,85.51
14800,98.36
15000,98.83
15200,87.425
15400,90.045
15600,95.51
15800,93.785
16000,86.705
16200,96.705
16400,92.18
16600,90.14
16800,96.555
17000,111.885
17200,97.39
17400,92.16
17600,89.43
17800,97.375
18000,94.93
18200,98.97
18400,93.5
18600,90.42
18800,97.22
19000,99.785
19200,95.005
19400,92.555
19600,97.72
19800,99.115
20000,61.53
20200,63.69
20400,60.795
20600,61.39
20800,69.795
21000,64.445
21200,68.185
21400,64.875
21600,67.23
21800,62.265
22000,68.99
22200,74.905
22400,62.365
22600,62.995
22800,69.36
23000,64.01
23200,67.94
23400,65.03
23600,60.485
23800,63.625
24000,65.145
24200,70.185
24400,64.68
24600,70.84
24800,64.5
25000,64.415
25200,67.145
25400,69.57
25600,67.655
25800,72.05
26000,74.83
26200,73.715
26400,66.55
26600,74.62
26800,71.51
27000,65.845
27200,71.25
27400,70.605
27600,66.57
27800,66.255
28000,65.275
28200,70.3
28400,70.0
28600,65.295
28800,65.72
29000,70.22
29200,70.78
29400,68.23
29600,70.32
29800,70.55
