Episode,AvgReward
0,126.35
200,140.32
400,140.77
600,122.42
800,134.035
1000,153.155
1200,146.925
1400,141.21
1600,157.1
1800,160.115
2000,159.345
2200,186.815
2400,149.71
2600,175.515
2800,163.28
3000,153.395
3200,176.07
3400,146.19
3600,164.575
3800,171.47
4000,184.81
4200,163.335
4400,179.965
4600,173.83
4800,177.75
5000,159.265
5200,178.38
5400,171.17
5600,177.255
5800,172.2
6000,174.725
6200,171.51
6400,185.565
6600,171.78
6800,186.23
7000,182.275
7200,173.53
7400,181.88
7600,178.655
7800,185.69
8000,171.23
8200,183.685
8400,198.67
8600,183.455
8800,170.09
9000,176.425
9200,189.125
9400,180.275
9600,174.23
9800,206.77
10000,192.685
10200,202.67
10400,188.93
10600,179.63
10800,185.87
11000,166.82
11200,203.68
11400,190.075
11600,183.345
11800,187.055
12000,182.04
12200,166.79
12400,186.42
12600,188.495
12800,179.205
13000,176.75
13200,173.055
13400,190.795
13600,184.985
13800,204.89
14000,183.83
14200,186.405
14400,189.8
14600,183.36
14800,172.26
15000,184.04
15200,193.34
15400,174.67
15600,188.825
15800,197.765
16000,175.195
16200,202.735
16400,187.42
16600,176.265
16800,183.345
17000,170.885
17200,197.885
17400,172.25
17600,199.835
17800,196.305
18000,169.32
18200,207.25
18400,168.825
18600,187.205
18800,173.775
19000,174.02
19200,170.18
19400,186.675
19600,177.72
19800,194.705
20000,94.995
20200,94.955
20400,111.99
20600,109.115
20800,120.38
21000,123.32
21200,108.99
21400,125.04
21600,118.805
21800,117.93
22000,119.965
22200,119.88
22400,120.74
22600,116.785
22800,134.235
23000,136.6
23200,126.69
23400,134.295
23600,125.9
23800,136.225
24000,130.74
24200,126.33
24400,136.975
24600,137.075
24800,138.02
25000,141.3
25200,146.75
25400,124.02
25600,147.63
25800,138.495
26000,133.37
26200,142.845
26400,141.49
26600,135.275
26800,139.065
27000,129.225
27200,125.82
27400,134.23
27600,134.415
27800,133.695
28000,127.695
28200,131.465
28400,132.765
28600,130.975
28800,130.695
29000,140.22
29200,133.275
29400,130.99
29600,132.435
29800,144.28
30000,130.815
30200,137.105
30400,125.885
30600,131.23
30800,131.03
31000,129.04
31200,128.84
31400,132.81
31600,137.275
31800,135.645
32000,137.565
32200,140.8
32400,144.355
32600,131.525
32800,133.8
33000,137.11
33200,134.04
33400,136.13
33600,134.115
33800,141.735
34000,132.275
34200,134.11
34400,136.265
34600,135.68
34800,128.915
35000,143.545
35200,136.25
35400,133.895
35600,136.885
35800,138.065
36000,136.49
36200,132.345
36400,131.515
36600,141.66
36800,142.97
37000,143.355
37200,140.98
37400,133.955
37600,136.89
37800,137.465
38000,138.01
38200,141.295
38400,127.15
38600,153.255
38800,142.065
39000,130.685
39200,140.28
39400,131.125
39600,133.815
39800,140.23
40000,66.42
40200,73.625
40400,76.13
40600,85.335
40800,78.125
41000,77.675
41200,84.195
41400,90.665
41600,89.535
41800,86.83
42000,97.17
42200,94.9
42400,96.225
42600,91.58
42800,91.29
43000,86.995
43200,97.395
43400,91.475
43600,100.47
43800,104.085
44000,99.885
44200,104.945
44400,97.735
44600,98.33
44800,95.99
45000,98.065
45200,95.315
45400,105.395
45600,93.635
45800,103.855
46000,101.49
46200,95.31
46400,96.095
46600,106.25
46800,105.315
47000,96.37
47200,107.09
47400,102.635
47600,99.165
47800,99.01
48000,100.795
48200,103.35
48400,95.275
48600,106.12
48800,98.345
49000,100.905
49200,100.63
49400,108.865
49600,100.585
49800,97.495
50000,103.055
50200,102.165
50400,101.435
50600,101.535
50800,99.56
51000,100.085
51200,104.025
51400,106.18
51600,101.365
51800,96.35
52000,113.755
52200,107.2
52400,107.735
52600,114.16
52800,104.035
53000,102.115
53200,95.97
53400,103.95
53600,107.345
53800,97.995
54000,108.535
54200,99.065
54400,103.435
54600,101.455
54800,97.075
55000,106.455
55200,102.735
55400,97.54
55600,100.085
55800,106.155
56000,99.9
56200,105.395
56400,107.595
56600,104.895
56800,98.01
57000,107.935
57200,104.665
57400,104.525
57600,104.225
57800,98.16
58000,108.085
58200,109.425
58400,104.46
58600,102.96
58800,113.185
59000,107.88
59200,105.195
59400,106.66
59600,103.87
59800,107.905
